CRED_ID,DATA,OPER,SUMMA
1,2020-01-01,Вынос на просрочку,100
1,2020-01-06,Вынос на просрочку,20
1,2020-01-11,Гашение просрочки,120
1,2020-01-16,Вынос на просрочку,100
1,2020-01-21,Гашение просрочки,20
1,2020-01-26,Гашение просрочки,20
1,2020-01-31,Гашение просрочки,20
1,2020-02-05,Вынос на просрочку,20
1,2020-02-10,Вынос на просрочку,20
1,2020-02-15,Гашение просрочки,80
2,2020-01-05,Вынос на просрочку,50
2,2020-01-10,Вынос на просрочку,10
2,2020-01-15,Вынос на просрочку,20
2,2020-01-20,Вынос на просрочку,10
3,2020-01-01,Вынос на просрочку,60
3,2020-01-15,Гашение просрочки,50
3,2020-01-29,Вынос на просрочку,15
3,2020-02-12,Гашение просрочки,24
